model,feature_set,recall_mean,recall_std,f1_mean,f1_std,precision_mean,precision_std,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std
log_reg,X_pca,0.9764119601328904,0.021051463259719964,0.9696644974958749,0.009179667601834057,0.9639832348634046,0.0259749615596336,0.9771774569166279,0.006986492780624109,0.9965608898871263,0.005260277650903907
log_reg,X_processed,0.9717607973421927,0.017614588837859213,0.9697137260210704,0.016766321769864406,0.9683175793190836,0.02913818139915772,0.9771774569166277,0.013112051171687851,0.9960346272293537,0.005179025408916956
log_reg,X_with_ratios,0.967109634551495,0.034868072919874975,0.9691773357754931,0.022173788072646666,0.9718258019789501,0.017444966850471286,0.9771774569166277,0.016256136974859583,0.9956472036352482,0.004716551495863325
log_reg,X_poly,0.967109634551495,0.023807205841480012,0.9650078436681293,0.020416255946127757,0.9635556745571788,0.029406744003583393,0.9736686849868033,0.01567436816932778,0.995509296086597,0.005370953231411308
xgb,X_with_ratios,0.9623477297895903,0.02824463066413476,0.9579262178673801,0.011172529653904258,0.955455486542443,0.03575946972235372,0.9683589504735289,0.00897083353378846,0.9957732831095096,0.002956250191185667
svc_rbf,X_with_ratios,0.9576965669988926,0.045258930804756084,0.9686636924076744,0.0282502915063147,0.9808033826638478,0.018519239846742103,0.9771774569166277,0.020448850702165525,0.9961731630090622,0.0046527970463371435
svc_rbf,X_pca,0.9576965669988926,0.045258930804756084,0.9596933287211643,0.02887783463462767,0.9631436314363144,0.03156501083951263,0.9701599130569788,0.021182924582533937,0.994517579204772,0.006470883547117459
linear_svc,X_processed,0.9576965669988926,0.027392916954122742,0.955503964737942,0.027042797456813747,0.9534732709151313,0.029446383060110756,0.9666511411271541,0.02028972403331976,0.9930800998930707,0.006542037887627987
linear_svc,X_pca,0.9576965669988926,0.045258930804756084,0.9530196685387265,0.031702651936859914,0.9495755693581781,0.03370439535078416,0.9648967551622419,0.023520213668450623,0.9951811211801385,0.005682276360401943
linear_svc,X_with_ratios,0.9576965669988926,0.027392916954122742,0.9490830065832737,0.032113724916058704,0.9410515672396359,0.041235448647049755,0.9613879832324173,0.024542563469963682,0.993018966512252,0.006480375587215927
svc_rbf,X_processed,0.953045404208195,0.04172989062800112,0.959587620475921,0.028814188438523125,0.9673813575345056,0.03168392060401963,0.9701599130569788,0.021182924582533937,0.9951798863811637,0.005358607394155686
linear_svc,X_poly,0.9528239202657808,0.03984464729574189,0.9528228531421018,0.030249732585332596,0.9536782855387507,0.0315980075690426,0.9648967551622418,0.02217302524988295,0.9921444472173263,0.010056319252852487
rf,X_pca,0.9482834994462902,0.05609668410168456,0.9456967551444704,0.032250574401388524,0.9467365967365968,0.046030307317204235,0.9596180717279925,0.023897098837553022,0.9914440237462674,0.008486158895117215
xgb,X_poly,0.9481727574750829,0.03768743065508798,0.943524359563083,0.014402918979466987,0.9407559245805224,0.027154742617330394,0.9578481602235678,0.01015802248531395,0.9937168445643716,0.004928564719112893
xgb,X_processed,0.9480620155038759,0.03490814592527529,0.9457590824266626,0.01012879876702931,0.945512022141498,0.030453137600536917,0.9595870206489675,0.006971918072338138,0.9947073049840819,0.004261917886845309
xgb,X_pca,0.9435215946843855,0.060432046903911185,0.9430032599567907,0.030416527256988474,0.9464369535879833,0.04208486184647248,0.9578792113025927,0.021747595861145504,0.9912135171060819,0.00880836310418192
rf,X_processed,0.9434108527131781,0.03835319192069032,0.9501743715265606,0.013461385200998825,0.9598763976034345,0.03927714986767008,0.9631113181183046,0.010182126546418261,0.9904982652157562,0.006992426648194407
rf,X_with_ratios,0.9434108527131781,0.03835319192069032,0.9498625698405473,0.010052574826491177,0.9583895814330597,0.023991164643639484,0.9630957925787922,0.006548870589462543,0.9921077823530329,0.005192898722748386
svc_rbf,X_poly,0.9389811738648948,0.045577284042626426,0.9564923623700441,0.02759240850109562,0.9758907758907759,0.021709834059552794,0.968390001552554,0.019670889196761673,0.9941903358133295,0.00650413366400013
knn,X_processed,0.933997785160576,0.04807196594129874,0.9536487305260704,0.02190980960549591,0.9764035087719298,0.024404889791538695,0.9666045645086166,0.01509952706041795,0.9887161795059765,0.00794182415154824
knn,X_pca,0.933997785160576,0.04807196594129874,0.9536487305260704,0.02190980960549591,0.9764035087719298,0.024404889791538695,0.9666045645086166,0.01509952706041795,0.9920197541840189,0.007426699986123721
knn,X_poly,0.9294573643410853,0.0513651776480736,0.9534249330496258,0.028106226074144397,0.9806526806526807,0.02376708083269163,0.9666356155876417,0.01951100177871548,0.9936203244445136,0.008319007071933348
rf,X_poly,0.9246954595791805,0.05182085317119419,0.939630875619101,0.02643885769231884,0.9576049973418395,0.029582941439101177,0.956078248719143,0.018370945204162277,0.9904042255254177,0.007571736873142024
knn,X_with_ratios,0.9198228128460688,0.05694485255031254,0.9503376681847305,0.026845012523182145,0.985645933014354,0.018592688256196584,0.9648346530041918,0.018437779318442,0.9919155544810637,0.00788190349774064
